adaptation_id,path,delta_id,relation,join_basis,semantic_attribution
A-BITMAP-O1,Makefile,,build_rule,explicit_path,exact
A-VSPRINTF-O1,Makefile,,build_rule,explicit_path,exact
A-BITMAP-O1,fs/bitmap.c,D:fs/bitmap.c,source_change,explicit_path,exact
A-MINIX-ROOTFS,fs/bitmap.c,D:fs/bitmap.c,source_change,declared_glob,broad
A-MINIX-ROOTFS,fs/block_dev.c,D:fs/block_dev.c,source_change,declared_glob,broad
A-BUFFER-FREELIST,fs/buffer.c,D:fs/buffer.c,source_change,explicit_path,exact
A-MINIX-ROOTFS,fs/buffer.c,D:fs/buffer.c,source_change,declared_glob,broad
A-MINIX-ROOTFS,fs/char_dev.c,D:fs/char_dev.c,source_change,declared_glob,broad
A-MINIX-ROOTFS,fs/exec.c,D:fs/exec.c,source_change,declared_glob,broad
A-MINIX-ROOTFS,fs/fcntl.c,D:fs/fcntl.c,source_change,declared_glob,broad
A-MINIX-ROOTFS,fs/file_dev.c,D:fs/file_dev.c,source_change,declared_glob,broad
A-MINIX-ROOTFS,fs/inode.c,D:fs/inode.c,source_change,declared_glob,broad
A-IOCTL-VOLATILE,fs/ioctl.c,D:fs/ioctl.c,source_change,explicit_path,exact
A-MINIX-ROOTFS,fs/ioctl.c,D:fs/ioctl.c,source_change,declared_glob,broad
A-MINIX-ROOTFS,fs/namei.c,D:fs/namei.c,source_change,declared_glob,broad
A-MINIX-ROOTFS,fs/open.c,D:fs/open.c,source_change,declared_glob,broad
A-MINIX-ROOTFS,fs/pipe.c,D:fs/pipe.c,source_change,declared_glob,broad
A-MINIX-ROOTFS,fs/read_write.c,D:fs/read_write.c,source_change,declared_glob,broad
A-MINIX-ROOTFS,fs/stat.c,D:fs/stat.c,source_change,declared_glob,broad
A-MINIX-ROOTFS,fs/super.c,D:fs/super.c,source_change,declared_glob,broad
A-MINIX-ROOTFS,fs/truncate.c,D:fs/truncate.c,source_change,declared_glob,broad
A-MINIX-ROOTFS,fs/tty_ioctl.c,D:fs/tty_ioctl.c,source_change,declared_glob,broad
A-INCLUDE-COMPAT,include/asm/memory.h,D:include/asm/memory.h,source_change,declared_glob,broad
A-INCLUDE-COMPAT,include/asm/segment.h,D:include/asm/segment.h,source_change,declared_glob,broad
A-INCLUDE-COMPAT,include/ctype.h,D:include/ctype.h,source_change,declared_glob,broad
A-INCLUDE-COMPAT,include/linux/config.h,D:include/linux/config.h,source_change,declared_glob,broad
A-INCLUDE-COMPAT,include/linux/fs.h,D:include/linux/fs.h,source_change,declared_glob,broad
A-PIPE-HEAD,include/linux/fs.h,D:include/linux/fs.h,source_change,explicit_path,exact
A-INCLUDE-COMPAT,include/linux/kernel.h,D:include/linux/kernel.h,source_change,declared_glob,broad
A-INCLUDE-COMPAT,include/linux/sched.h,D:include/linux/sched.h,source_change,declared_glob,broad
A-INCLUDE-COMPAT,include/linux/tty.h,D:include/linux/tty.h,source_change,declared_glob,broad
A-INCLUDE-COMPAT,include/stdarg.h,D:include/stdarg.h,source_change,declared_glob,broad
A-INCLUDE-COMPAT,include/string.h,D:include/string.h,source_change,declared_glob,broad
A-INCLUDE-COMPAT,include/sys/wait.h,D:include/sys/wait.h,source_change,declared_glob,broad
A-INCLUDE-COMPAT,include/unistd.h,D:include/unistd.h,source_change,declared_glob,broad
A-CMOS-Y2K,init/main.c,D:init/main.c,source_change,explicit_path,exact
A-EXPERIENCE-ENV,init/main.c,D:init/main.c,source_change,explicit_path,exact
A-SYSCALL-GCC,init/main.c,D:init/main.c,source_change,explicit_path,exact
A-VGA-80X50,init/main.c,D:init/main.c,source_change,explicit_path,exact
A-KERNEL-ASM,kernel/asm.s,D:kernel/asm.s,source_change,declared_glob,broad
A-CONSOLE-DEDUPE,kernel/console.c,D:kernel/console.c,source_change,explicit_path,exact
A-CP437-FILTER,kernel/console.c,D:kernel/console.c,source_change,explicit_path,exact
A-VGA-80X50,kernel/console.c,D:kernel/console.c,source_change,explicit_path,exact
,kernel/exit.c,D:kernel/exit.c,source_change,none,unresolved
,kernel/fork.c,D:kernel/fork.c,source_change,none,unresolved
A-ATA-PIO,kernel/hd.c,D:kernel/hd.c,source_change,explicit_path,exact
A-COLORED-PRINTK,kernel/hd.c,D:kernel/hd.c,source_change,explicit_path,exact
