delta_id,path,change_type,upstream_sha256,port_sha256,upstream_mode,port_mode,added_lines,deleted_lines,hunk_count,patch_sha256
D:fs/bitmap.c,fs/bitmap.c,modified,f8f6fdd5f92da2056419397e6485cc34262cb62f1a3fc47b09e35467da6cd2e3,9f885ad24903eafe8b7ee0b1a5306938bce3493586a80d309424e4b67459fa4d,100644,100644,34,9,7,4b6ec246aa25332158bf475426c398e55723afd0b978000874c428ab6fb9d0c5
D:fs/block_dev.c,fs/block_dev.c,modified,431e679a858e81fb72332edfd7ca74d98a3de3d78ff67ec0fe34d6cd315e469b,6bc0ccda3d492cf9e2cee493897a3c31039d86cc57d811124b0dbae83150f8cf,100644,100644,9,6,4,e1b8bb972897147947453fc91a8e13ecd0ddd91031e187ccb89c9408f0ea0474
D:fs/buffer.c,fs/buffer.c,modified,59871a1f8059422a0f30c2c8083aa19027fadcfe196be46f49d26c6b7a17c02b,28bcd823ea764bbccd0ae307229383a1b6cf271e7ea8bf8cb837768b783c76b7,100644,100644,19,7,4,4787623282c9782f72fd2c62d11d3a99c4d02df65f1faccdf8c3766149c4d3e0
D:fs/char_dev.c,fs/char_dev.c,modified,d7831588bbdbd757ab3df33ba37decae936490669488948e39cd893fb0027e5d,e125c2adf6d4a2b98d1ea48c0225586876320f3c8ecb43baee3e8834f076c22c,100644,100644,8,7,9,3efe7cd7e1342b886d3baf970f552392deef74ee355f2cacb129e7f908685bfe
D:fs/exec.c,fs/exec.c,modified,24d933dec534931e9495363e92179508baac2f8a15acb6414cfd9a86b005066f,43299bd32d90eb98c530b8d40da452de547895f1e046de9e16d7bfe9152d83bc,100644,100644,48,15,24,f6c380ed78bebfc7387dc844bb78ca9af7d3327523e769cc3432099cf225ab83
D:fs/fcntl.c,fs/fcntl.c,modified,a2fb89160e0a918764d6acd9e66dff7c49dc62a288899c3fb1f9e9e54d16b678,bd2e7ade9a06c450615566ce7bd0b05172bd452bfa8f31d3436d95b7512847cc,100644,100644,4,4,2,110528957a0627c568de6763cc35f3296b697933910c454e257df2c6dc0e17ac
D:fs/file_dev.c,fs/file_dev.c,modified,a71c0f148844a81d65d5d354b0df2731998dada9bfc6baf66972a9974e2732e1,0dbf20d1fb4112f4b8ad55495e8e9a971d045e15c8a2f911514e7308bf0bae0c,100644,100644,1,1,2,d79e892e361375ce09a4e91cbc71c418a497fc02365f1ac8ecc1d51432a427da
D:fs/inode.c,fs/inode.c,modified,c03d6374680508b44c76f20e8e4af344549c8de5c2a8fc0a425409efbd714366,8c7165a6b295390fa6761e6a67a2af11ebc6492aee9629ce11c81c778909d122,100644,100644,12,11,18,0c950e4c9b82970556b2fdeeccd8b9d1b662cf785c11e3b31f59f8a6c7c97434
D:fs/ioctl.c,fs/ioctl.c,modified,61d46bb3a987c7a414d91bf55e48923af065191f3f10e71d48ace67c4381bf69,953272af7e297e3692eba2ba4e906fa2080ff76bf845d9ed678acd94cc2ce1d0,100644,100644,14,12,4,8f442e1de78696b61937c57683dc05de9c80e3ae3f688fe47cd6a22fa8044220
D:fs/namei.c,fs/namei.c,modified,b52b800b3b6c5a5a0b9349af2c8f0309e6eb2dd1fe4b132351821b87a50eac7b,0b6cbbc0ec2d4e9a8a973ee2691daba25afd76abcf0b8cb43a2bbca082734d0b,100644,100644,32,16,22,da701e3d468c8e30e760a873314f67abaad435f9cfe05e2491a8a33dc130d848
D:fs/open.c,fs/open.c,modified,47c21e01797c3d4a12d861f90f15cd8ef81a23ff8ab6ca39201663b9df55c96f,25faf7a96a74d5daf4aa32494f6063ada7ddab48b3273797b7644fbbc32ccc80,100644,100644,43,9,7,af81ee7a323e96a5d7486a16b1184e568dc1db4c8dfac55828c743159d01cb17
D:fs/pipe.c,fs/pipe.c,modified,c33fd79b161139c2355dbca7b611f37532e87607775319d34f8209d8043127dd,4320992c73bbbafc9a995f8546b09c5c1d43b4cce70182f35d545178c48f8b24,100644,100644,4,0,3,3be4aad9ab205a44abc58a30d84d02ca498883c0709d66f41fb5bc8b07385df8
D:fs/read_write.c,fs/read_write.c,modified,01c64cd4a91919acba7c1cbf04726fd77ba312679c4a941b9de1950a02ad41c9,b61d748842d25ae9368b83311c23b74734bb06b4f3cf23c8b0aa1e21c24bfc03,100644,100644,6,6,6,19de0cb5f7968049a7a9ebdae05fee111e95d23ad51e80f34920e7097bf1604a
D:fs/stat.c,fs/stat.c,modified,bb3a98de753b869a6efa38b8f8dcf7933a6a8bea2bda8c6179da6feb6d4f81b1,426d8c0f76d48cf58ea28f5bbb48a106cabad3af0f643c7384bd192da21cfcb2,100644,100644,4,1,3,9425562e96a68a26512f6744b03ef17ba3a25f5242c633b22a6bfdf5102de4a4
D:fs/super.c,fs/super.c,modified,4f94de04a68b7ec38ba16f28955dcfbd4d163afb59f185296e50de6a907b8fc7,16501a241903ebf5987346380ec83a71c70221c89b4844877ba411919fb1b834,100644,100644,52,17,5,b4d138d2658454ea3643f2b1a70afd54cc4bb442776613775848f13f10c9b629
D:fs/truncate.c,fs/truncate.c,modified,708c88d2be4fca8ba2e6161ffcfdabfba067b6d036670980bb76aa46ce67923b,a9f74eb3dc084408708929f77be36746d2b4a7751fe211dad4397cc5cd0c5f85,100644,100644,2,2,4,b4cc1e58568280e2dc603ffac8e24bcf8f5a8849e953fae9cb3c292ff39cb8f5
D:fs/tty_ioctl.c,fs/tty_ioctl.c,modified,a9c084d71fa88674f61dc94b229c6507cb3d27877c933b2587d724a7ee735bf4,b7a6ce3330c16549cc921406afc67cbc606ef629f88b2aa6911095f1e9788eee,100644,100644,104,81,9,ea1dfc932c43971242dd71e2b29acda16a3e4096e9be00df99810c3754f302da
D:include/asm/memory.h,include/asm/memory.h,modified,e2abf865347c06dafc14967847029b1d52af56927d3d0a3bfb8566f447afdd7c,39393139e3a94a6d12873559ecf42bb249689633a5a3f3c65d8a85c4bcd3ff07,100644,100644,6,3,1,1248f8b73bac2b3651b4134f664fa3a06fa95cbc5a325a514668bea337c5cf29
D:include/asm/segment.h,include/asm/segment.h,modified,4448874d9181a3a788d8def8ec55939fbb5dfa27336e307817d39ce965b5d490,4789e12dcba4eb0bdf65f7d8f2dfa7b50d63af815f88bc57c11d3443c443517f,100644,100644,7,7,5,c9af98fd4d7623dbbd1fc256db0df77f4792e9589227585be48a34101258594e
D:include/ctype.h,include/ctype.h,modified,ecea7907986e68726f9612f2ae0c9774097377bf366d030ebcc289e44c2d9037,ca58e1abc7e5ec48d5c48571ce2ed852838f4651f5bc89f5ae2baa52da7c60c6,100644,100644,13,13,1,ec74f675cf5ea1c2dbc26ff4fb23610a5adc61d094f4c3e3e5af35005ad6e514
D:include/linux/config.h,include/linux/config.h,modified,a0d65d97422b301a383b7bded0571ba8bdaa7156c6c61c4f064c0c01c86c338b,b6a33a6c6d207581d16be93b4b234db0f6958f65630dbc678e97a1856664ff52,100644,100644,3,2,2,022a37b7949fefd5dae461127950157eb64434d557683a27b4eb63e9e8d09439
