path	category	attribution	license_status
.dockerignore	modern-project	F E R M I INFINITY H A R T	Unlicense
.gdbinit	modern-project	F E R M I INFINITY H A R T	Unlicense
.github/workflows/build.yml	modern-project	F E R M I INFINITY H A R T	Unlicense
.gitignore	modern-project	F E R M I INFINITY H A R T	Unlicense
ARCHITECTURE.md	modern-project	F E R M I INFINITY H A R T	Unlicense
AUTHORS.md	modern-project	F E R M I INFINITY H A R T	Unlicense
Dockerfile	modern-project	F E R M I INFINITY H A R T	Unlicense
EXPERIENCE.md	modern-project	F E R M I INFINITY H A R T	Unlicense
LICENSE	legal-aggregation	Multiple named licensors and provenance statements	aggregated terms; not a blanket license
MISSION.md	modern-project	F E R M I INFINITY H A R T	Unlicense
Makefile	modern-mixed-content	F E R M I INFINITY H A R T; original implementation only	mixed; see LICENSE and THIRD-PARTY-NOTICES.md
README.md	modern-mixed-document	F E R M I INFINITY H A R T; original text only	mixed quotations; see THIRD-PARTY-NOTICES.md
bbp/bbp_build.c	modern-project	F E R M I INFINITY H A R T	BSD-3-Clause
bbp/bbp_build.h	modern-project	F E R M I INFINITY H A R T	BSD-3-Clause
bbp/bbp_kernel.c	modern-project	F E R M I INFINITY H A R T	BSD-3-Clause
bbp/bbp_kernel.h	modern-project	F E R M I INFINITY H A R T	BSD-3-Clause
bbp/compat/stddef.h	modern-project	F E R M I INFINITY H A R T	BSD-3-Clause
bbp/compat/stdint.h	modern-project	F E R M I INFINITY H A R T	BSD-3-Clause
bbp/include/bbp/bbp.h	modern-project	F E R M I INFINITY H A R T	BSD-3-Clause
bbp/include/bbp/bbp_crc64.h	modern-project	F E R M I INFINITY H A R T	BSD-3-Clause
bbp/linux01_bbp.c	modern-project	F E R M I INFINITY H A R T	BSD-3-Clause
bbp/linux01_bbp.h	modern-project	F E R M I INFINITY H A R T	BSD-3-Clause
bbp/linux01_handoff.h	modern-project	F E R M I INFINITY H A R T	BSD-3-Clause
bemu/README.md	modern-project	F E R M I INFINITY H A R T	Unlicense
bemu/bemu_linux01.c	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	BSD-3-Clause
bemu/cli.c	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/cli.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/console.c	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/console.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/error.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/experience.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/ide.c	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/ide.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/irq.c	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/irq.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/kernel_image.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/keyboard.c	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/keyboard.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/kvm.c	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/kvm.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/loader.c	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/loader.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/machine.c	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/machine.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/memory.c	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/memory.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/pic.c	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/pic.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/pit.c	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/pit.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/rtc.c	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/rtc.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/trace.c	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/trace.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/trace_clock.c	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/trace_clock.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/uart.c	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
bemu/uart.h	bemu-partial-provenance	F E R M I INFINITY H A R T; adaptation and maintenance	NOASSERTION; see bemu/README.md
boot/head.s	linux-0.01-historical	Linux 0.01 historical source; see file-level authors and LICENSE	LicenseRef-Linux-0.01
boot/kernel.ld	modern-project	F E R M I INFINITY H A R T	Unlicense
datasets/compiler-cases/v1/MANIFEST.json	generated-or-dataset	NOASSERTION; see dataset or generator provenance	see pinned manifest and notices
datasets/compiler-cases/v1/README.md	generated-or-dataset	NOASSERTION; see dataset or generator provenance	see pinned manifest and notices
datasets/compiler-cases/v1/SHA256SUMS.txt	generated-or-dataset	NOASSERTION; see dataset or generator provenance	see pinned manifest and notices
datasets/compiler-cases/v1/assembly/OBS-GCC13-BITMAP-INLINE-ASM-I386-O0.s	generated-or-dataset	NOASSERTION; see dataset or generator provenance	see pinned manifest and notices
datasets/compiler-cases/v1/assembly/OBS-GCC13-BITMAP-INLINE-ASM-I386-O1.s	generated-or-dataset	NOASSERTION; see dataset or generator provenance	see pinned manifest and notices
datasets/compiler-cases/v1/assembly/OBS-GCC13-BITMAP-INLINE-ASM-I386-O2.s	generated-or-dataset	NOASSERTION; see dataset or generator provenance	see pinned manifest and notices
datasets/compiler-cases/v1/assembly/OBS-GCC13-BITMAP-INLINE-ASM-X86_64-O0.s	generated-or-dataset	NOASSERTION; see dataset or generator provenance	see pinned manifest and notices
datasets/compiler-cases/v1/assembly/OBS-GCC13-BITMAP-INLINE-ASM-X86_64-O1.s	generated-or-dataset	NOASSERTION; see dataset or generator provenance	see pinned manifest and notices
datasets/compiler-cases/v1/assembly/OBS-GCC13-BITMAP-INLINE-ASM-X86_64-O2.s	generated-or-dataset	NOASSERTION; see dataset or generator provenance	see pinned manifest and notices
datasets/compiler-cases/v1/assembly/OBS-GCC13-BUFFER-FREELIST-I386-O0.s	generated-or-dataset	NOASSERTION; see dataset or generator provenance	see pinned manifest and notices
